shift,condition,series,model,family,parameters_b,selected_method,score,weighted_mean
Adversarial shift,OOD,ours,Llama-3.1-8B-Instruct,LLaMA,8.0,H∞ (ours),99.5,98.6725
Language shift,Chinese,baseline,Qwen3-4B,Qwen,4.0,A-LQR,20.0,14.285714285714285
Language shift,Chinese,baseline,Phi-4-mini,Phi,3.8,A-LQR,0.0,14.285714285714285
Language shift,Chinese,baseline,Granite-3.3-2B,Granite,2.0,A-LQR,30.0,14.285714285714285
Language shift,Chinese,ours,Qwen3-4B,Qwen,4.0,H∞ (ours),51.0,47.0
Language shift,Chinese,ours,Phi-4-mini,Phi,3.8,H∞ (ours),47.0,47.0
Language shift,Chinese,ours,Granite-3.3-2B,Granite,2.0,H∞ (ours),39.0,47.0
Language shift,French,baseline,Qwen3-4B,Qwen,4.0,A-LQR,29.0,18.97959183673469
Language shift,French,baseline,Phi-4-mini,Phi,3.8,A-LQR,0.0,18.97959183673469
Language shift,French,baseline,Granite-3.3-2B,Granite,2.0,A-LQR,35.0,18.97959183673469
Language shift,French,ours,Qwen3-4B,Qwen,4.0,H∞ (ours),48.0,44.306122448979586
Language shift,French,ours,Phi-4-mini,Phi,3.8,H∞ (ours),49.0,44.306122448979586
Language shift,French,ours,Granite-3.3-2B,Granite,2.0,H∞ (ours),28.0,44.306122448979586
Language shift,Japanese,baseline,Qwen3-4B,Qwen,4.0,A-LQR,32.0,17.755102040816325
Language shift,Japanese,baseline,Phi-4-mini,Phi,3.8,A-LQR,0.0,17.755102040816325
Language shift,Japanese,baseline,Granite-3.3-2B,Granite,2.0,A-LQR,23.0,17.755102040816325
Language shift,Japanese,ours,Qwen3-4B,Qwen,4.0,H∞ (ours),40.0,37.938775510204074
Language shift,Japanese,ours,Phi-4-mini,Phi,3.8,H∞ (ours),41.0,37.938775510204074
Language shift,Japanese,ours,Granite-3.3-2B,Granite,2.0,H∞ (ours),28.0,37.938775510204074
Language shift,Swahili,baseline,Qwen3-4B,Qwen,4.0,A-LQR,12.0,5.3061224489795915
Language shift,Swahili,baseline,Phi-4-mini,Phi,3.8,A-LQR,0.0,5.3061224489795915
Language shift,Swahili,baseline,Granite-3.3-2B,Granite,2.0,A-LQR,2.0,5.3061224489795915
Language shift,Swahili,ours,Qwen3-4B,Qwen,4.0,H∞ (ours),14.0,15.081632653061224
Language shift,Swahili,ours,Phi-4-mini,Phi,3.8,H∞ (ours),21.0,15.081632653061224
Language shift,Swahili,ours,Granite-3.3-2B,Granite,2.0,H∞ (ours),6.0,15.081632653061224
Language shift,Telugu,baseline,Qwen3-4B,Qwen,4.0,A-LQR,19.0,8.571428571428571
Language shift,Telugu,baseline,Phi-4-mini,Phi,3.8,A-LQR,0.0,8.571428571428571
Language shift,Telugu,baseline,Granite-3.3-2B,Granite,2.0,A-LQR,4.0,8.571428571428571
Language shift,Telugu,ours,Qwen3-4B,Qwen,4.0,H∞ (ours),8.0,11.265306122448978
Language shift,Telugu,ours,Phi-4-mini,Phi,3.8,H∞ (ours),18.0,11.265306122448978
Language shift,Telugu,ours,Granite-3.3-2B,Granite,2.0,H∞ (ours),5.0,11.265306122448978
Context shift,ID,baseline,Qwen2.5-3B-Instruct,Qwen,3.0,Original,7.8,7.5
Context shift,ID,baseline,Llama-3.2-1B-Instruct,LLaMA,1.0,A-LQR,6.6,7.5
Context shift,ID,ours,Qwen2.5-3B-Instruct,Qwen,3.0,H∞ (ours),6.4,6.4
Context shift,ID,ours,Llama-3.2-1B-Instruct,LLaMA,1.0,H∞ (ours),6.4,6.4
Context shift,OOD,baseline,Qwen2.5-3B-Instruct,Qwen,3.0,S-PID,7.2,6.275
Context shift,OOD,baseline,Llama-3.2-1B-Instruct,LLaMA,1.0,Original,3.5,6.275
Context shift,OOD,ours,Qwen2.5-3B-Instruct,Qwen,3.0,H∞ (ours),7.8,6.8
Context shift,OOD,ours,Llama-3.2-1B-Instruct,LLaMA,1.0,H∞ (ours),3.8,6.8
