concept,instance_id,sense,sentence
shelter.NOUN,shelter.NOUN.000049,shelter%1:06:00::,"Use Building tree platforms or nests as a shelter from dangers on the ground is a habit of all the great apes, and may have been inherited by humans."
shelter.NOUN,shelter.NOUN.000050,shelter%1:06:00::,"In 2008, renovations were made to the Indian Bar Shelter to make repairs and correct drainage problems."
shelter.NOUN,shelter.NOUN.000051,shelter%1:06:00::,"In order to complete some tours, it is necessary to spend the night in such shelters."
shelter.NOUN,shelter.NOUN.000052,shelter%1:06:00::,Shelter from the storm: the story of New Zealand 's backcountry huts.
shelter.NOUN,shelter.NOUN.000053,shelter%1:06:00::,Alps Similar shelters can also be found in remote areas of the Alps (known in German as Biwakschachtel).
shelter.NOUN,shelter.NOUN.000054,shelter%1:06:00::,"The shelter was listed on the National Register of Historic Places on March 13, 1991."
shelter.NOUN,shelter.NOUN.000055,shelter%1:06:00::,"They are generally used as a shelter from the sun or wind, changing into and out of swimming costumes and for the safe storing of some personal belongings."
shelter.NOUN,shelter.NOUN.000056,shelter%1:06:00::,"The shelter features stone walls and a log roof structure, in a saltbox shape."
shelter.NOUN,shelter.NOUN.000057,shelter%1:06:00::,"Design and construction The basic slab hut derived its plan from the vernacular English crofter 's hut, a simple rectangular walled shelter with one door, and perhaps holes to allow air to enter."
shelter.NOUN,shelter.NOUN.000058,shelter%1:06:00::,"Uses The early Weatherport huts were used as carports, but the design was soon found to be a good housing and shelter option for remote locations that needed an easily transportable structure that could withstand high winds and heavy snow loads in areas such as the Arctic, Antarctic, and Greenland."
shelter.NOUN,shelter.NOUN.000059,shelter%1:06:00::,The North Mowich shelter was built in 1934 by Civilian Conservation Corps workers.
shelter.NOUN,shelter.NOUN.000060,shelter%1:06:00::,"Many youth camps use such structures to provide an inexpensive shelter for campers that is sturdier, and more durable, than a textile tent. Laavus made of tent cloth are also sold, meant for four or five people."
shelter.NOUN,shelter.NOUN.000061,shelter%1:06:00::,"The shelter features stone walls and a log roof structure, to a design by the National Park Service Branch of Plans and Design, under the supervision of Edwin A. Nickel."
shelter.NOUN,shelter.NOUN.000062,shelter%1:06:00::,The shelter worked better than other products on the market and a family business was born.
shelter.NOUN,shelter.NOUN.000063,shelter%1:06:00::,"Summerland Trail Shelter The Summerland Trail Shelter in Mount Rainier National Park is a rustic shelter on the Wonderland Trail, built by the Civilian Conservation Corps in 1934."
shelter.NOUN,shelter.NOUN.000064,shelter%1:06:00::,"Premise The Essay on Architecture provides a story of man in his ' primitive ' state to explain how the creation of the ""primitive man 's"" house is created instinctively based on mans need to shelter himself from nature."
shelter.NOUN,shelter.NOUN.000065,shelter%1:06:00::,"The Book of Vayikra (Leviticus) describes it as a symbolic wilderness shelter, commemorating the time God provided for the Israelites in the wilderness they inhabited after they were freed from slavery in Egypt."
shelter.NOUN,shelter.NOUN.000066,shelter%1:06:00::,"Lean-to buildingsEdit A lean-to is originally defined as a building in which the rafters lean against another building or wall, a penthouse. A lean-to shelter is a free standing structure with only three walls and a single-pitched roof."
shelter.NOUN,shelter.NOUN.000067,shelter%1:06:00::,"However, evidence for cave accommodation, terrestrial man-made rock shelters, and bonfires should be possible to find if they had existed, but are scarce from earlier than 40000 years ago."
shelter.NOUN,shelter.NOUN.000068,shelter%1:06:00::,"A wilderness hut, backcountry hut, or backcountry shelter is a rent-free, simple shelter or hut for temporary accommodation, usually located in wilderness areas, national parks and along backpacking and hiking routes."
shelter.NOUN,shelter.NOUN.000069,shelter%1:06:00::,"Measuring about 23 feet (7.0 m) by 26 feet (7.9 m), it is one of two CCC shelters remaining on the trail, with the earlier Summerland Trail Shelter."
shelter.NOUN,shelter.NOUN.000070,shelter%1:06:00::,"The shelters are part of the notable rustic architectural theme that is particularly consistent at Mount Rainier in both frontcountry and backcountry, having all been built at the height of the NPS Rustic design trend."
shelter.NOUN,shelter.NOUN.000071,shelter%1:06:00::,Often it is a rough structure made of logs or unfinished wood and used as a camping shelter.
shelter.NOUN,shelter.NOUN.000072,shelter%1:06:00::,"The burdei was a temporary refuge until a ""proper"" home of poplar logs and mud plaster could be built. Mennonites from Imperial Russia settled in the Hillsboro region of Kansas, and also built burdeis as temporary shelters."
shelter.NOUN,shelter.NOUN.000073,shelter%1:06:00::,North America This type of shelter was created by many of the earliest Ukrainian Canadian settlers as their first home in Canada at the end of the 19th century.
shelter.NOUN,shelter.NOUN.000074,shelter%1:06:00::,"Measuring about 14 feet (4.3 m) by 10 feet (3.0 m), the rectangular shelter is open on the front side."
shelter.NOUN,shelter.NOUN.000075,shelter%1:06:00::,"Built by Civilian Civilian Conservation Corps The Summerland Trail Shelter, the Indian Bar Trail Shelter, and North Mowich Trail Shelter are the three CCC shelters remaining on the trail."
shelter.NOUN,shelter.NOUN.000076,shelter%1:06:00::,"There is no floor. The North Fork Sol Duc Shelter was placed on the National Register of Historic Places on July 13, 2007."
shelter.NOUN,shelter.NOUN.000077,shelter%1:06:00::,"The “ Gordoise Nave ” Functionally, the “ Gordoise nave ” appears to have been a multi-purpose edifice used as seasonal dwelling, barn, grain store house, byre, sheep shelter, sikworm house, tool shed, treading house with vat."
shelter.NOUN,shelter.NOUN.000078,shelter%1:06:00::,"They consist of a corral next to the main entrance, which has a shelter or shed and an outer closed."
shelter.NOUN,shelter.NOUN.000079,shelter%1:06:00::,"A storm shelter or storm cellar is a type of underground bunker designed to protect the occupants from violent severe weather, particularly tornadoes."
shelter.NOUN,shelter.NOUN.000080,shelter%1:06:00::,The enclosed pens used to shelter large animals are called stalls and may be located in the cellar or on the main level depending in the type of barn.
shelter.NOUN,shelter.NOUN.000081,shelter%1:06:00::,Geolocation services Many storm shelter manufacturers include geolocation services or incorporate GPS technologies to assist in ensuring recovery from the shelter after a storm or other catastrophic event.
shelter.NOUN,shelter.NOUN.000082,shelter%1:06:00::,An example of manufacturer-offered geolocation services is the Survive-a-Storm National Geolocator Service -- shelter owners provide their shelter 's GPS coordinates to an emergency response center that is linked to a nationwide severe weather notification system.
shelter.NOUN,shelter.NOUN.000083,shelter%1:06:00::,"In the British Isles, the term barn is restricted mainly to storage structures for unthreshed cereals and fodder, the terms byre or shippon being applied to cow shelters, whereas horses are kept in buildings known as stables."
shelter.NOUN,shelter.NOUN.000084,shelter%1:06:00::,By the 1960s it was found that cattle receive sufficient shelter from trees or wind fences (usually wooden slabs 20 % open).
shelter.NOUN,shelter.NOUN.000085,shelter%1:06:00::,Features A farm may have buildings of varying shapes and sizes used to shelter large and small animals and other uses.
shelter.NOUN,shelter.NOUN.000086,shelter%1:06:00::,"A small pen for horses (no more than 15 -- 20 feet on any side) is only known as a pen if it lacks any roof or shelter, otherwise it is called a stall and is part of a stable."
shelter.NOUN,shelter.NOUN.000087,shelter%1:06:00::,"For this reason they also provide the only reliable form of shelter against ""violent"" (EF4 and EF5) tornadoes which tend to rip the house from its foundation, removing the overhead cover which was protecting the occupant. There are several different styles of storm cellars."
shelter.NOUN,shelter.NOUN.000088,shelter%1:06:00::,After shearing the shearing shed may also provide warm shelter for newly shorn sheep if the weather is likely to be cold and wet. In recent years shearing sheds have usually included improved penning systems to assist with the movement of sheep and ideally will include swing gates to facilitate their closure.
shelter.NOUN,shelter.NOUN.000089,shelter%1:06:00::,"Everything else needs to be done by the horse owner who will visit the yard one or more times a day to manage their horse. Grass livery or agistment - A form of DIY livery in which a field or paddock is provided, often with a field shelter, but without stabling."
shelter.NOUN,shelter.NOUN.000090,shelter%1:06:00::,"They were called Hochbunker (literally, ""high bunkers""; better translated as ""above ground bunkers"", to distinguish them from the usual deep i. e. underground air raid shelters) and those that functioned as anti-aircraft artillery platforms were also called Flak towers."
shelter.NOUN,shelter.NOUN.000091,shelter%1:06:00::,It too was intended to serve as a strongpoint in defending against the feared invasion. In Berlin and other cities during World War II some massive blockhouses were built as air-raid shelters and anti-aircraft artillery platforms.
shelter.NOUN,shelter.NOUN.000092,shelter%1:06:00::,"In apartment houses, the shelter may double as storage space, as long as it can be swiftly emptied for its primary use."
shelter.NOUN,shelter.NOUN.000093,shelter%1:06:00::,They also served as air-raid shelters for tens of thousands of local civilians.
shelter.NOUN,shelter.NOUN.000094,shelter%1:06:00::,"One 10,000-square-foot (0.093 ha) shelter has been completed in Indiana, and others are proposed."
shelter.NOUN,shelter.NOUN.000095,shelter%1:06:00::,"There are above-ground, below-ground, dedicated, dual-purpose, and potential blast shelters."
shelter.NOUN,shelter.NOUN.000096,shelter%1:06:00::,"The armed men would then man the perimeter, the circled wagons serving to break up the enemy charge, to create a certain amount of concealment from observation and shelter from enemy firearms fire."
shelter.NOUN,shelter.NOUN.000097,shelter%1:06:00::,"The three flak towers around the outskirts of Berlin created a triangle of anti-aircraft fire that covered the centre of Berlin. The flak towers had also been designed with the idea of using the above-ground bunkers as a civilian shelter, with room for 10,000 civilians and a hospital ward inside."
shelter.NOUN,shelter.NOUN.000098,shelter%1:06:00::,"This tower, containing six levels below the rooftop, includes in its design, as part of its air-raid shelter, two identical spaces for protection against gas attacks, one on the first floor (above ground level) and the other on the second floor."
shelter.NOUN,shelter.NOUN.000099,shelter%1:06:00::,"As of April 2012, Vicino said the company had approximately 25,000 subscribers, of whom 1,000 had bought shares entitling them to space in a shelter."
shelter.NOUN,shelter.NOUN.000100,shelter%1:06:00::,Alternatives Deployable sheltersKevlar lined deployable shelters could protect aircraft from bomblets (a common anti-airfield weapon).
shelter.NOUN,shelter.NOUN.000101,shelter%1:06:00::,Its residents could shelter within the walls of the gord in the event of danger.
shelter.NOUN,shelter.NOUN.000102,shelter%1:06:00::,"To prevent the shelter from floating to the surface in high groundwater, some designs have a skirt held-down with the overburden."
shelter.NOUN,shelter.NOUN.000103,shelter%1:06:00::,"The gulyay-gorod developed as a popular fortification in the Eastern European steppe nations, where flat, void landscape provided no natural shelter."
shelter.NOUN,shelter.NOUN.000104,shelter%1:06:00::,Disadvantages They are in a fixed known position. Hardened shelters are expensive. Hardened shelters are usually too small to easily accommodate large aircraft such as strategic transport aircraft and large surveillance aircraft. Time taken for construction requires forward planning regarding most likely combat zones.
shelter.NOUN,shelter.NOUN.000105,shelter%1:06:00::,netSelf Sufficiency GuideBad End 2 - 21st Century Hobbit Hole - Precast concrete in home constructionHexayurt Shelter System - a public domain autonomous building system for refugees and poor villagersThe Cropthorne House - Notes on design and comparison with the Vales ' Southwell HouseSelf Sufficient LivingGreenSpec
shelter.NOUN,shelter.NOUN.000106,shelter%1:06:00::,"The Germans were more willing to accept the trenches as long-term positions, and used concrete blocks to build secure shelters deep underground, often with electrical lighting and heating."
shelter.NOUN,shelter.NOUN.000107,shelter%1:06:00::,"These early shelters provided protection from the elements, good insulation during the winter months, and a cool location in the summer."
shelter.NOUN,shelter.NOUN.000108,shelter%1:06:00::,In prehistoric Britain simple circular wattle and daub shelters were built wherever adequate clay was available.
shelter.NOUN,shelter.NOUN.000109,shelter%1:06:00::,"The structure built to shelter bronze-casting is built in the form of an apse, a quarter-sphere or semi-dome."
shelter.NOUN,shelter.NOUN.000110,shelter%1:06:00::,They protect the high-value equipment in the shelter by keeping the indoor air temperature below the maximum permissible by absorbing heat generated by power-hungry equipment such as a Base Station Subsystem.
shelter.NOUN,shelter.NOUN.000111,shelter%1:06:00::,"Earthquake shelter One Japanese construction company has developed a six-foot cubical shelter, presented as an alternative to earthquake-proofing an entire building."
shelter.NOUN,shelter.NOUN.000112,shelter%1:06:00::,Fujian Tulous are large fortified rammed earth buildings in southeastern China that shelter as many as 80 families.
shelter.NOUN,shelter.NOUN.000113,shelter%1:06:00::,"Construction is faster with pre-formed adobe or mudbricks, compressed earth blocks, earthbags or fired clay bricks. Types of earth structure include earth shelters, where a dwelling is wholly or partly embedded in the ground or encased in soil."
shelter.NOUN,shelter.NOUN.000114,shelter%1:06:00::,"It is unlikely that any military enemy would intentionally target a civilian shelter, even if it were carpet bombing a city."
shelter.NOUN,shelter.NOUN.000115,shelter%1:06:00::,A small drainage sump was often incorporated in the floor to collect rainwater seeping into the shelter.
shelter.NOUN,shelter.NOUN.000116,shelter%1:06:00::,"However, fewer people could find shelter at night as sleeping areas for the occupants took up more of the space available - a limitation applying to any other type of shelter as well."
shelter.NOUN,shelter.NOUN.000117,shelter%1:06:00::,"For years, little progress was made with shelters because of the apparently irreconcilable conflict between the need to send the public underground for shelter and the need to keep them above ground for protection against gas attacks."
shelter.NOUN,shelter.NOUN.000118,shelter%1:06:00::,"However, when the pattern of all night alerts became established, it was realised that in winter Anderson shelters installed outside were cold damp holes in the ground and often flooded in wet weather, and so their occupancy factor would be poor."
shelter.NOUN,shelter.NOUN.000119,shelter%1:06:00::,"In Schöneberg, a block of flats was built over the Pallasstrasse air-raid shelter after World War II."
shelter.NOUN,shelter.NOUN.000120,shelter%1:06:00::,"The Himba people of Namibia construct ""desert igloos"" of wattle and daub for use as temporary shelters at seasonal cattle camps, and as permanent homes by the poor."
shelter.NOUN,shelter.NOUN.000121,shelter%1:06:00::,"From May to July, the unit returned to constructing underground shelters beneath the British trenches."
shelter.NOUN,shelter.NOUN.000122,shelter%1:06:00::,"However, the term today is also applied to permanent concrete, wooden, or steel structures used to shelter objects or people from the sun."
shelter.NOUN,shelter.NOUN.000123,shelter%1:06:00::,"Rondavel -- Central and South AfricaSheiling -- Originally a temporary shelter or hut for shepherds, now may be a stone building."
shelter.NOUN,shelter.NOUN.000124,shelter%1:06:00::,"As shelter was essential, the frontier farmer utilized ribbons of the thick prairie sod cut as they plowed their virgin land."
shelter.NOUN,shelter.NOUN.000125,shelter%1:06:00::,"As there was a limited window of time for building, the new arrivals built pithouses as warm shelters for the winter."
shelter.NOUN,shelter.NOUN.000126,shelter%1:06:00::,"In the southwestern United States, a ramada is a temporary or permanent shelter equipped with a roof but no walls, or only partially enclosed. Ramadas have traditionally been constructed with branches or bushes by aboriginal Americans living in the region (deriving from the Spanish rama, meaning ""branch"")."
shelter.NOUN,shelter.NOUN.000127,shelter%1:06:00::,"Chikee or Chickee (""house"" in the Creek and Mikasuki languages spoken by the Seminoles and Miccosukees) is a shelter supported by posts, with a raised floor, a thatched roof and open sides."
shelter.NOUN,shelter.NOUN.000128,shelter%1:06:00::,"They provided shelter, sometimes seasonal or temporary, for families near the wooded coast for hunting and fishing."
shelter.NOUN,shelter.NOUN.000129,shelter%1:06:00::,"In these cases, the shelter 's construction closely reflected the architecture of the various settlers ' origins."
shelter.NOUN,shelter.NOUN.000130,shelter%1:06:00::,"Burdeis In frontier Canada and the United States, dugout style shelters were also used by pioneers and settlers from Europe."
shelter.NOUN,shelter.NOUN.000131,shelter%1:06:00::,"These vary from simple bothies -- which are little more than very basic shelters -- to mountain huts that are far more luxurious and can even include facilities such as restaurants. The word comes from the 1650s, from French hutte ""cottage"" (16c.)"
shelter.NOUN,shelter.NOUN.000132,shelter%1:06:00::,"Since sunlight is more of an environmental hazard than wind or snow or rain in this part of the world, a roof alone provides substantial shelter."
shelter.NOUN,shelter.NOUN.000133,shelter%1:06:00::,"World War II zemlyankas In World War II, partisans, or armed resistance fighters in Eastern Europe sometimes lived in dugouts called zemlyankas (Russian or Ukrainian: Землянка) which were used as underground bunkers to provide shelter and a hiding place from enemies."
shelter.NOUN,shelter.NOUN.000134,shelter%1:06:00::,A thick layer of mud on the outside of the roof and walls protected the shelter from the weather.
shelter.NOUN,shelter.NOUN.000135,shelter%1:06:00::,"A dugout or dug-out, also known as a pit-house, earth lodge, is a shelter for humans or domesticated animals and livestock based on a hole or depression dug into the ground."
shelter.NOUN,shelter.NOUN.000136,shelter%1:06:00::,"Although today it is the only known partially surviving example of this type of shelter, it was one of many such dugout houses constructed by Doukhobors upon arrival in Canada, and a form of shelter used by many settlers of various ethnicities upon their arrival on the prairies."
shelter.NOUN,shelter.NOUN.000137,shelter%1:06:00::,"These structures are one of the most ancient types of human housing known to archeologists, and the same methods have evolved into modern ""earth shelter"" technology. Dugouts may also be temporary shelters constructed as an aid to specific activities, e. g., concealment and protection during warfare or shelter while hunting."
shelter.NOUN,shelter.NOUN.000138,shelter%1:06:00::,Mennonites from Imperial Russia also built burdeis as temporary shelters when they settled in the Hillsboro region of Kansas.
shelter.NOUN,shelter.NOUN.000139,shelter%1:06:00::,As the needs change from saving lives to providing medium to long term shelter the construction of locally appropriate and accepted housing can be very important.
shelter.NOUN,shelter.NOUN.000140,shelter%1:06:00::,"As well as providing a living and working area, the building serves as a shelter, which is of vital importance in the everyday life of a home in a rural setting that is exposed to the elements."
shelter.NOUN,shelter.NOUN.000141,shelter%1:06:00::,"The charcoal burner prepared the necessary charcoal for the smelting of ores. Today, Köten are used for tourism purposes as shelters and rest stops for hikers."
shelter.NOUN,shelter.NOUN.000142,shelter%1:06:00::,Humanitarian response An appreciation of vernacular architecture is increasingly seen as vital in the immediate response to disasters and the following construction of transitional shelter if it is needed.
shelter.NOUN,shelter.NOUN.000143,shelter%1:06:00::,"In a busy thoroughfare, there is often a small shop, which consists of a simple wooden shelter beside the street, where all kinds of goods are sold."
shelter.NOUN,shelter.NOUN.000144,shelter%1:06:00::,Permanent dwellings often offer a greater degree of protection and shelter from the elements.
shelter.NOUN,shelter.NOUN.000145,shelter%1:06:00::,It used to be a shelter for merchants.
shelter.NOUN,shelter.NOUN.000146,shelter%1:06:00::,"Nomadic dwellings There are many cultures around the world which include some aspect of nomadic life, and they have all developed vernacular solutions for the need for shelter."
shelter.NOUN,shelter.NOUN.000147,shelter%1:06:00::,Notable in each case is the significant impact of the availability of materials and the availability of pack animals or other forms of transport on the ultimate form of the shelters. All the shelters are adapted to suit the local climate.
shelter.NOUN,shelter.NOUN.000148,shelter%1:06:00::,"Vegetation around the house helps to shelter the house from the intense sunshine, as well as forming a break against powerful winds or storms."
shelter.NOUN,shelter.NOUN.000149,shelter%1:06:00::,"Culture The way of life of building occupants, and the way they use their shelters, is of great influence on building forms."
shelter.NOUN,shelter.NOUN.000150,shelter%1:06:00::,A summer house or summerhouse has traditionally referred to a building or shelter used for relaxation in warm weather.
shelter.NOUN,shelter.NOUN.000151,shelter%1:06:00::,"Therefore, there is a drastic reduction in energy consumption required for the home compared to homes of typical construction. Earth shelters also provide privacy from neighbours, as well as soundproofing."
shelter.NOUN,shelter.NOUN.000152,shelter%1:06:00::,Background Living within earth shelters has been a large part of human history.
shelter.NOUN,shelter.NOUN.000153,shelter%1:06:00::,"Similarly today, in-hill earth shelter construction utilizes the natural formation of a hillside for two to three of the exterior walls and sometimes the roof of a structure."
shelter.NOUN,shelter.NOUN.000154,shelter%1:06:00::,"A bothy is a basic shelter, usually left unlocked and available for anyone to use free of charge."
shelter.NOUN,shelter.NOUN.000155,shelter%1:06:00::,"Foam insulation requires an additional protective top coat such as foil to help it resist water penetration. In some low budget earth shelters, insulation may not be applied to the walls."
shelter.NOUN,shelter.NOUN.000156,shelter%1:06:00::,"One reason for this is that it provides protection for the waterproof membrane against freeze damage, another is that the earth shelter is able to better retain its desired temperature."
shelter.NOUN,shelter.NOUN.000157,shelter%1:06:00::,"This is an academic look at how to construct an earth shelter building. Wade, Herb, Jeffrey Cook, Ken Labs, and Steve Selkowitz."
shelter.NOUN,shelter.NOUN.000158,shelter%1:06:00::,Retaining walls and backfills may have to be constructed to hold up the slope prior to shelter construction.
shelter.NOUN,shelter.NOUN.000159,shelter%1:06:00::,Waterproofing Several layers are used for waterproofing in earth shelter construction.
shelter.NOUN,shelter.NOUN.000160,shelter%1:06:00::,"Because of this principle, the earth provides a fairly constant temperature for the underground shelters, even when the outdoor temperature undergoes great fluctuation."
shelter.NOUN,shelter.NOUN.000161,shelter%1:06:00::,Untreated wood rots within five years of use in earth shelter construction.
shelter.NOUN,shelter.NOUN.000162,shelter%1:06:00::,"Insulation Unlike conventional building, earth shelters require the insulation on the exterior of the building rather than inside the wall."
shelter.NOUN,shelter.NOUN.000163,shelter%1:06:00::,"Today, earth shelter construction is a rare practice, especially in the U. S. A.."
shelter.NOUN,shelter.NOUN.000164,shelter%1:06:00::,"However, progress has been slow, and earth shelter construction is often viewed by architects, engineers, and the public alike as an unconventional method of building."
shelter.NOUN,shelter.NOUN.000165,shelter%1:06:00::,"In addition to the Win-3 Habitat, Stratodyne also manufactures emergency disaster shelters and low cost kit-built homes for third world countries."
