shift,split,semantic_id,variant,label,text,behavior,token_count,linear_residual_rms,corrected_residual_rms,correction_benefit,ridge_lambda,fold,abs_correction_benefit
GPT-2: long context,ID,5,2,negative,"Consider the final user statement: The service was slow, unhelpful, and left the customer frustrated. Treat it as a single evaluation sample.",0.9142316579818726,29,0.9707339259373392,1.010050211012566,-0.039316285075226776,100.0,2,0.039316285075226776
GPT-2: long context,OOD,5,2,negative,"Consider the final user statement: We have included several pages of unrelated but verbose context before reaching the actual answer: the service was slow, unhelpful, and left the customer frustrated. Treat it as a single evaluation sample.",1.024592399597168,46,1.1383069842041067,1.158720165830781,-0.02041318162667438,100.0,2,0.02041318162667438
GPT-2: long context,ID,5,3,negative,"In a concise review setting, The service was slow, unhelpful, and left the customer frustrated. This is part of a controlled benchmark set.",0.5805829167366028,30,0.9601983298624153,0.9946157698330744,-0.03441743997065916,100.0,2,0.03441743997065916
GPT-2: long context,OOD,5,3,negative,"In a concise review setting, We have included several pages of unrelated but verbose context before reaching the actual answer: the service was slow, unhelpful, and left the customer frustrated. This is part of a controlled benchmark set.",0.7378746271133423,47,1.0608353385831584,1.128015305550284,-0.06717996696712558,100.0,2,0.06717996696712558
GPT-2: long context,ID,5,4,negative,"As a benchmark sentence, The service was slow, unhelpful, and left the customer frustrated. Preserve the original sentiment and intent.",0.6944908499717712,28,0.9870687240516305,0.9877483495633281,-0.0006796255116976457,100.0,2,0.0006796255116976457
GPT-2: long context,OOD,5,4,negative,"As a benchmark sentence, We have included several pages of unrelated but verbose context before reaching the actual answer: the service was slow, unhelpful, and left the customer frustrated. Preserve the original sentiment and intent.",0.8655127286911011,45,1.09935860131153,1.152443994660167,-0.053085393348637044,100.0,2,0.053085393348637044
GPT-2: long context,ID,6,0,negative,"Everything felt slow, confusing, and badly handled from beginning to end.",0.5493353605270386,14,1.2280918487983117,1.2404048428096424,-0.01231299401133068,100.0,3,0.01231299401133068
GPT-2: long context,OOD,6,0,negative,"This extended context was added to test long-range drift and distractor sensitivity. The actual final statement is that the experience felt confusing, slow, and disappointing.",0.6242943406105042,32,1.151710743098126,1.1709825956238231,-0.019271852525697186,100.0,3,0.019271852525697186
GPT-2: long context,ID,6,1,negative,"For a short sentiment judgment, Everything felt slow, confusing, and badly handled from beginning to end. Keep the meaning unchanged.",0.7175896167755127,25,1.1738611101263834,1.1904718016698346,-0.016610691543451184,100.0,3,0.016610691543451184
GPT-2: long context,OOD,6,1,negative,"For a short sentiment judgment, This extended context was added to test long-range drift and distractor sensitivity. The actual final statement is that the experience felt confusing, slow, and disappointing. Keep the meaning unchanged.",0.6000142097473145,43,1.125838398566074,1.1509587006327298,-0.02512030206665572,100.0,3,0.02512030206665572
GPT-2: long context,ID,6,2,negative,"Consider the final user statement: Everything felt slow, confusing, and badly handled from beginning to end. Treat it as a single evaluation sample.",0.8564271926879883,28,1.1963904540112935,1.1998230699964192,-0.0034326159851256755,100.0,3,0.0034326159851256755
GPT-2: long context,OOD,6,2,negative,"Consider the final user statement: This extended context was added to test long-range drift and distractor sensitivity. The actual final statement is that the experience felt confusing, slow, and disappointing. Treat it as a single evaluation sample.",0.7921866774559021,46,1.1135208318763543,1.1275535915584922,-0.014032759682137907,100.0,3,0.014032759682137907
GPT-2: long context,ID,6,3,negative,"In a concise review setting, Everything felt slow, confusing, and badly handled from beginning to end. This is part of a controlled benchmark set.",0.6089956760406494,29,1.0712872576518087,1.1182863024082188,-0.04699904475641015,100.0,3,0.04699904475641015
GPT-2: long context,OOD,6,3,negative,"In a concise review setting, This extended context was added to test long-range drift and distractor sensitivity. The actual final statement is that the experience felt confusing, slow, and disappointing. This is part of a controlled benchmark set.",0.6306448578834534,47,1.089623815808093,1.0852508430604912,0.004372972747601844,100.0,3,0.004372972747601844
GPT-2: long context,ID,6,4,negative,"As a benchmark sentence, Everything felt slow, confusing, and badly handled from beginning to end. Preserve the original sentiment and intent.",0.7141533493995667,27,1.1300095425041408,1.190583204568554,-0.06057366206441328,100.0,3,0.06057366206441328
GPT-2: long context,OOD,6,4,negative,"As a benchmark sentence, This extended context was added to test long-range drift and distractor sensitivity. The actual final statement is that the experience felt confusing, slow, and disappointing. Preserve the original sentiment and intent.",0.5961917638778687,45,1.1126372242362021,1.126873884019515,-0.014236659783312788,100.0,3,0.014236659783312788
GPT-2: long context,ID,7,0,negative,The product arrived broken and the support was completely useless.,0.6577920317649841,11,1.0352332837219829,1.017806296740976,0.017426986981006864,100.0,3,0.017426986981006864
GPT-2: long context,OOD,7,0,negative,"The model sees a long context and then a final statement that the product arrived broken, the support was useless, and the experience was frustrating.",0.6965059041976929,28,1.1691403658309811,1.1869865409742204,-0.017846175143239273,100.0,3,0.017846175143239273
GPT-2: long context,ID,7,1,negative,"For a short sentiment judgment, The product arrived broken and the support was completely useless. Keep the meaning unchanged.",0.7613378167152405,22,0.9951672687799961,1.0112604311551818,-0.016093162375185766,100.0,3,0.016093162375185766
GPT-2: long context,OOD,7,1,negative,"For a short sentiment judgment, The model sees a long context and then a final statement that the product arrived broken, the support was useless, and the experience was frustrating. Keep the meaning unchanged.",0.9011831283569336,39,1.0894473175648658,1.10850592230581,-0.01905860474094423,100.0,3,0.01905860474094423
GPT-2: long context,ID,7,2,negative,Consider the final user statement: The product arrived broken and the support was completely useless. Treat it as a single evaluation sample.,1.0194547176361084,25,0.9213968020583545,0.9181724593331041,0.0032243427252504064,100.0,3,0.0032243427252504064
GPT-2: long context,OOD,7,2,negative,"Consider the final user statement: The model sees a long context and then a final statement that the product arrived broken, the support was useless, and the experience was frustrating. Treat it as a single evaluation sample.",1.1131545305252075,42,0.9927877416012737,1.0186022468121303,-0.025814505210856598,100.0,3,0.025814505210856598
GPT-2: long context,ID,7,3,negative,"In a concise review setting, The product arrived broken and the support was completely useless. This is part of a controlled benchmark set.",0.7443918585777283,26,0.8546085220149517,0.8523744582511881,0.0022340637637636718,100.0,3,0.0022340637637636718
GPT-2: long context,OOD,7,3,negative,"In a concise review setting, The model sees a long context and then a final statement that the product arrived broken, the support was useless, and the experience was frustrating. This is part of a controlled benchmark set.",0.7890557050704956,43,0.9900528661947703,0.9999764127046257,-0.009923546509855385,100.0,3,0.009923546509855385
GPT-2: long context,ID,7,4,negative,"As a benchmark sentence, The product arrived broken and the support was completely useless. Preserve the original sentiment and intent.",0.7629695534706116,24,0.9475507546896851,0.9683520134322381,-0.020801258742553008,100.0,3,0.020801258742553008
GPT-2: long context,OOD,7,4,negative,"As a benchmark sentence, The model sees a long context and then a final statement that the product arrived broken, the support was useless, and the experience was frustrating. Preserve the original sentiment and intent.",1.0004411935806274,41,1.0583800805232129,1.0656290084602273,-0.007248927937014482,100.0,3,0.007248927937014482
