benchmark,distribution,condition_axis,condition,model_key,model_label,method,metric,value,standard_error,higher_is_better,unit,source_path
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,ActAdd,instruction_relevance,0.78,0.03,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,ActAdd,fluency,1.02,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,Mean-AcT,true,30.35,1.37,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,Mean-AcT,informative,95.84,1.07,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,Mean-AcT,true_times_informative,29.09,1.4,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,Mean-AcT,instruction_relevance,0.91,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,Mean-AcT,fluency,1.02,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,Linear-AcT,true,29.5,1.28,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,Linear-AcT,informative,96.33,0.91,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,Linear-AcT,true_times_informative,28.42,1.12,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,Linear-AcT,instruction_relevance,0.87,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,Linear-AcT,fluency,1.11,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,PID-AcT,true,29.87,1.66,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,PID-AcT,informative,96.57,1.05,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,PID-AcT,true_times_informative,28.84,1.48,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,PID-AcT,instruction_relevance,0.89,0.03,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,PID-AcT,fluency,1.09,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,ODESteer,true,37.58,2.86,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,ODESteer,informative,92.9,0.64,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,ODESteer,true_times_informative,34.91,2.58,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,ODESteer,instruction_relevance,0.89,0.03,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,ODESteer,fluency,1.06,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,S-PID,true,28.4,1.16,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,S-PID,informative,86.9,1.49,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,S-PID,true_times_informative,24.68,1.0,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,S-PID,instruction_relevance,0.84,0.03,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,S-PID,fluency,0.84,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,A-LQR,true,31.21,1.98,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,A-LQR,informative,92.04,1.0,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,A-LQR,true_times_informative,28.73,1.85,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,A-LQR,instruction_relevance,0.84,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,A-LQR,fluency,1.05,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,H∞ (ours),true,46.51,1.17,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,H∞ (ours),informative,75.64,1.74,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,H∞ (ours),true_times_informative,35.18,0.43,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,H∞ (ours),instruction_relevance,0.78,0.03,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,H∞ (ours),fluency,0.76,0.03,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,Original,true,49.28,0.98,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,Original,informative,96.99,0.29,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,Original,true_times_informative,47.79,0.96,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,Original,instruction_relevance,1.33,0.03,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,Original,fluency,1.3,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,ITI,true,57.14,0.79,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,ITI,informative,97.53,0.09,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,ITI,true_times_informative,55.72,0.77,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,ITI,instruction_relevance,1.38,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,ITI,fluency,1.3,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,ActAdd,true,56.72,0.99,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,ActAdd,informative,88.69,0.82,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,ActAdd,true_times_informative,50.3,0.99,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,ActAdd,instruction_relevance,1.23,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,ActAdd,fluency,1.17,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,Mean-AcT,true,47.47,0.71,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,Mean-AcT,informative,97.55,0.26,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,Mean-AcT,true_times_informative,46.3,0.7,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,Mean-AcT,instruction_relevance,1.36,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,Mean-AcT,fluency,1.31,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,Linear-AcT,true,48.2,0.69,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,Linear-AcT,informative,97.5,0.19,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,Linear-AcT,true_times_informative,47.0,0.68,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,Linear-AcT,instruction_relevance,1.35,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,Linear-AcT,fluency,1.33,0.0,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,PID-AcT,true,47.69,0.21,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,PID-AcT,informative,97.6,0.26,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,PID-AcT,true_times_informative,46.54,0.24,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,PID-AcT,instruction_relevance,1.34,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,PID-AcT,fluency,1.31,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,ODESteer,true,95.81,0.06,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,ODESteer,informative,9.28,0.36,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,ODESteer,true_times_informative,8.89,0.35,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,ODESteer,instruction_relevance,0.01,0.0,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,ODESteer,fluency,0.03,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,S-PID,true,57.55,0.21,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,S-PID,informative,97.8,0.27,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,S-PID,true_times_informative,56.28,0.26,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,S-PID,instruction_relevance,1.41,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,S-PID,fluency,1.27,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,A-LQR,true,58.95,0.27,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,A-LQR,informative,98.07,0.2,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,A-LQR,true_times_informative,57.81,0.29,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,A-LQR,instruction_relevance,1.44,0.03,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,A-LQR,fluency,1.21,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,H∞ (ours),true,76.5,1.11,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,H∞ (ours),informative,80.29,0.59,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,H∞ (ours),true_times_informative,61.42,1.15,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,H∞ (ours),instruction_relevance,0.99,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,llama31_8b,Llama-3-8B,H∞ (ours),fluency,1.0,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,Original,true,55.89,0.33,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,Original,informative,96.47,0.15,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,Original,true_times_informative,53.92,0.33,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,Original,instruction_relevance,1.46,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,Original,fluency,1.24,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,ITI,true,61.62,0.62,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,ITI,informative,95.32,0.35,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,ITI,true_times_informative,58.73,0.63,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,ITI,instruction_relevance,1.52,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,ITI,fluency,1.25,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,ActAdd,true,64.04,0.42,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,ActAdd,informative,87.61,0.61,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,ActAdd,true_times_informative,56.11,0.53,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,ActAdd,instruction_relevance,1.17,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,ActAdd,fluency,0.99,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,Mean-AcT,true,55.35,1.09,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,Mean-AcT,informative,96.03,0.21,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,Mean-AcT,true_times_informative,53.15,1.05,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,Mean-AcT,instruction_relevance,1.5,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,Mean-AcT,fluency,1.24,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,Linear-AcT,true,56.28,0.95,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,Linear-AcT,informative,96.18,0.28,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,Linear-AcT,true_times_informative,54.13,0.93,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,Linear-AcT,instruction_relevance,1.5,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,Linear-AcT,fluency,1.23,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,PID-AcT,true,56.08,0.89,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,PID-AcT,informative,96.28,0.15,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,PID-AcT,true_times_informative,54.0,0.86,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,PID-AcT,instruction_relevance,1.49,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,PID-AcT,fluency,1.24,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,ODESteer,true,61.4,0.6,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,ODESteer,informative,94.0,0.15,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,ODESteer,true_times_informative,57.71,0.57,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,ODESteer,instruction_relevance,1.41,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,ODESteer,fluency,1.21,0.0,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,S-PID,true,66.93,0.93,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,S-PID,informative,96.52,0.22,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,S-PID,true_times_informative,64.6,0.91,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,S-PID,instruction_relevance,1.51,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,S-PID,fluency,1.26,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,A-LQR,true,71.82,0.6,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,A-LQR,informative,96.99,0.28,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,A-LQR,true_times_informative,69.66,0.62,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,A-LQR,instruction_relevance,1.53,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,A-LQR,fluency,1.26,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,H∞ (ours),true,85.31,0.33,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,H∞ (ours),informative,89.4,0.35,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,H∞ (ours),true_times_informative,76.27,0.42,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,H∞ (ours),instruction_relevance,1.34,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,H∞ (ours),fluency,1.15,0.0,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,olmo2_32b,OLMo-2-32B,Original,true,56.92,2.36,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,olmo2_32b,OLMo-2-32B,Original,informative,98.78,0.34,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,olmo2_32b,OLMo-2-32B,Original,true_times_informative,56.22,2.15,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,olmo2_32b,OLMo-2-32B,Original,instruction_relevance,1.59,0.03,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,olmo2_32b,OLMo-2-32B,Original,fluency,1.43,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,olmo2_32b,OLMo-2-32B,A-LQR,true,87.76,1.5,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,olmo2_32b,OLMo-2-32B,A-LQR,informative,93.15,1.22,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,olmo2_32b,OLMo-2-32B,A-LQR,true_times_informative,81.74,0.65,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,olmo2_32b,OLMo-2-32B,A-LQR,instruction_relevance,1.31,0.03,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,olmo2_32b,OLMo-2-32B,A-LQR,fluency,1.02,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,olmo2_32b,OLMo-2-32B,H∞ (ours),true,92.66,0.73,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,olmo2_32b,OLMo-2-32B,H∞ (ours),informative,93.15,0.8,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,olmo2_32b,OLMo-2-32B,H∞ (ours),true_times_informative,86.31,0.42,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,olmo2_32b,OLMo-2-32B,H∞ (ours),instruction_relevance,1.38,0.03,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,olmo2_32b,OLMo-2-32B,H∞ (ours),fluency,1.12,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,Original,true,66.1,0.86,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,Original,informative,11.51,0.77,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,Original,true_times_informative,7.6,0.44,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,Original,instruction_relevance,0.05,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,Original,fluency,0.15,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,ITI,true,60.1,1.13,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,ITI,informative,16.52,1.65,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,ITI,true_times_informative,9.93,0.95,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,ITI,instruction_relevance,0.1,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,ITI,fluency,0.33,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,ActAdd,true,65.61,2.12,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,ActAdd,informative,14.44,1.04,true,percent,figs/bench_table/truthfulness/truthfulqa_spanish.md
