benchmark,distribution,condition_axis,condition,model_key,model_label,calibration_id,outcome_metric,hinf_reliability,best_comparator_method,best_comparator_reliability,hinf_differential,gamma_star,s_rob,selection_metric,performance_source,selection_source
harmful,ood,attack_template,YOJA/Nona roleplay,llama32_3b,Llama-3.2-3B-Instruct,selected,safe_response_rate,95.83,Original,88.75,7.079999999999998,0.415802001953125,2.404990825688073,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_3b_instruct/calibrations/h_infinity/selected/selection.json
lciteeval,id,context_length,8K,llama32_1b,Llama-3.2-1B-Instruct,selected,answer_recall,61.7,A-LQR,59.8,1.9000000000000057,0.08689761161804199,11.50779614514027,weighted_task_quality_and_steering_score,figs/bench_table/lciteeval/lciteeval_full.md,benchmarks/lciteeval/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
lciteeval,id,context_length,8K,llama32_1b,Llama-3.2-1B-Instruct,selected,citation_f1,6.4,A-LQR,6.6,-0.1999999999999993,0.08689761161804199,11.50779614514027,weighted_task_quality_and_steering_score,figs/bench_table/lciteeval/lciteeval_full.md,benchmarks/lciteeval/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
lciteeval,id,context_length,8K,qwen25_3b,Qwen2.5-3B-Instruct,selected,answer_recall,66.4,S-PID,72.1,-5.699999999999989,2.305424213409424,0.43375965003903966,mean per-response AXBench three-judge harmonic mean,figs/bench_table/lciteeval/lciteeval_full.md,benchmarks/lciteeval/cache/qwen25_3b_instruct/calibrations/h_infinity/selected/selection.json
lciteeval,id,context_length,8K,qwen25_3b,Qwen2.5-3B-Instruct,selected,citation_f1,6.4,Original,7.8,-1.3999999999999995,2.305424213409424,0.43375965003903966,mean per-response AXBench three-judge harmonic mean,figs/bench_table/lciteeval/lciteeval_full.md,benchmarks/lciteeval/cache/qwen25_3b_instruct/calibrations/h_infinity/selected/selection.json
lciteeval,ood,context_length,16K,llama32_1b,Llama-3.2-1B-Instruct,selected,answer_recall,47.9,A-LQR,50.1,-2.200000000000003,0.08689761161804199,11.50779614514027,weighted_task_quality_and_steering_score,figs/bench_table/lciteeval/lciteeval_full.md,benchmarks/lciteeval/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
lciteeval,ood,context_length,16K,llama32_1b,Llama-3.2-1B-Instruct,selected,citation_f1,3.8,Original,3.5,0.2999999999999998,0.08689761161804199,11.50779614514027,weighted_task_quality_and_steering_score,figs/bench_table/lciteeval/lciteeval_full.md,benchmarks/lciteeval/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
lciteeval,ood,context_length,16K,qwen25_3b,Qwen2.5-3B-Instruct,selected,answer_recall,65.2,Original,65.2,0.0,2.305424213409424,0.43375965003903966,mean per-response AXBench three-judge harmonic mean,figs/bench_table/lciteeval/lciteeval_full.md,benchmarks/lciteeval/cache/qwen25_3b_instruct/calibrations/h_infinity/selected/selection.json
lciteeval,ood,context_length,16K,qwen25_3b,Qwen2.5-3B-Instruct,selected,citation_f1,7.8,S-PID,7.2,0.5999999999999996,2.305424213409424,0.43375965003903966,mean per-response AXBench three-judge harmonic mean,figs/bench_table/lciteeval/lciteeval_full.md,benchmarks/lciteeval/cache/qwen25_3b_instruct/calibrations/h_infinity/selected/selection.json
mgsm,ood,language,Chinese,granite33_2b,Granite-3.3-2B,selected,accuracy,39.0,Original,37.0,2.0,1.100921630859375,0.9083298683298683,mgsm_quality_composite,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/granite33_2b_instruct/calibrations/h_infinity/selected/selection.json
mgsm,ood,language,Chinese,phi4_mini,Phi-4-mini,selected,accuracy,47.0,Original,63.0,-16.0,4.976749420166016,0.20093436811344256,mgsm_quality_composite,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/phi4_mini_instruct/calibrations/h_infinity/selected/selection.json
mgsm,ood,language,Chinese,qwen3_4b,Qwen3-4B,selected,accuracy,51.0,Original,71.0,-20.0,11.073577404022217,0.09030505350843292,mean per-response AXBench Spanish/relevance/fluency harmonic mean,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/qwen3_4b/calibrations/h_infinity/selected/selection.json
mgsm,ood,language,French,granite33_2b,Granite-3.3-2B,selected,accuracy,28.0,A-LQR,35.0,-7.0,1.100921630859375,0.9083298683298683,mgsm_quality_composite,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/granite33_2b_instruct/calibrations/h_infinity/selected/selection.json
mgsm,ood,language,French,phi4_mini,Phi-4-mini,selected,accuracy,49.0,Original,58.0,-9.0,4.976749420166016,0.20093436811344256,mgsm_quality_composite,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/phi4_mini_instruct/calibrations/h_infinity/selected/selection.json
mgsm,ood,language,French,qwen3_4b,Qwen3-4B,selected,accuracy,48.0,Original,60.0,-12.0,11.073577404022217,0.09030505350843292,mean per-response AXBench Spanish/relevance/fluency harmonic mean,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/qwen3_4b/calibrations/h_infinity/selected/selection.json
mgsm,ood,language,Japanese,granite33_2b,Granite-3.3-2B,selected,accuracy,28.0,Original,29.0,-1.0,1.100921630859375,0.9083298683298683,mgsm_quality_composite,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/granite33_2b_instruct/calibrations/h_infinity/selected/selection.json
mgsm,ood,language,Japanese,phi4_mini,Phi-4-mini,selected,accuracy,41.0,Original,49.0,-8.0,4.976749420166016,0.20093436811344256,mgsm_quality_composite,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/phi4_mini_instruct/calibrations/h_infinity/selected/selection.json
mgsm,ood,language,Japanese,qwen3_4b,Qwen3-4B,selected,accuracy,40.0,Original,56.0,-16.0,11.073577404022217,0.09030505350843292,mean per-response AXBench Spanish/relevance/fluency harmonic mean,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/qwen3_4b/calibrations/h_infinity/selected/selection.json
mgsm,ood,language,Swahili,granite33_2b,Granite-3.3-2B,selected,accuracy,6.0,Original,6.0,0.0,1.100921630859375,0.9083298683298683,mgsm_quality_composite,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/granite33_2b_instruct/calibrations/h_infinity/selected/selection.json
mgsm,ood,language,Swahili,phi4_mini,Phi-4-mini,selected,accuracy,21.0,Original,32.0,-11.0,4.976749420166016,0.20093436811344256,mgsm_quality_composite,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/phi4_mini_instruct/calibrations/h_infinity/selected/selection.json
mgsm,ood,language,Swahili,qwen3_4b,Qwen3-4B,selected,accuracy,14.0,Original,15.0,-1.0,11.073577404022217,0.09030505350843292,mean per-response AXBench Spanish/relevance/fluency harmonic mean,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/qwen3_4b/calibrations/h_infinity/selected/selection.json
mgsm,ood,language,Telugu,granite33_2b,Granite-3.3-2B,selected,accuracy,5.0,Original,6.0,-1.0,1.100921630859375,0.9083298683298683,mgsm_quality_composite,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/granite33_2b_instruct/calibrations/h_infinity/selected/selection.json
mgsm,ood,language,Telugu,phi4_mini,Phi-4-mini,selected,accuracy,18.0,Original,25.0,-7.0,4.976749420166016,0.20093436811344256,mgsm_quality_composite,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/phi4_mini_instruct/calibrations/h_infinity/selected/selection.json
mgsm,ood,language,Telugu,qwen3_4b,Qwen3-4B,selected,accuracy,8.0,A-LQR,19.0,-11.0,11.073577404022217,0.09030505350843292,mean per-response AXBench Spanish/relevance/fluency harmonic mean,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/qwen3_4b/calibrations/h_infinity/selected/selection.json
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,txi95_fluency05_n200_r1,true,46.51,ODESteer,37.58,8.93,30.839061737060547,0.03242640805761803,truthfulqa_txi_fluency_composite,figs/bench_table/truthfulness/truthfulqa.md,benchmarks/truthfulness/cache/gpt2_xl/calibrations/h_infinity/txi95_fluency05_n200_r1/selection.json
truthfulness,id,language,English,llama31_8b,Llama-3-8B,txi_fluency_95_05,true,76.5,ODESteer,95.81,-19.310000000000002,4.852664470672607,0.20607235592808135,truthfulqa_txi_fluency_composite,figs/bench_table/truthfulness/truthfulqa.md,benchmarks/truthfulness/cache/llama8b/calibrations/h_infinity/txi_fluency_95_05/selection.json
truthfulness,id,language,English,olmo2_32b,OLMo-2-32B,txi95_fluency05_n200_r1,true,92.66,A-LQR,87.76,4.8999999999999915,2.571195363998413,0.38892416111272093,truthfulqa_txi_fluency_composite,figs/bench_table/truthfulness/truthfulqa.md,benchmarks/truthfulness/cache/olmo2_32b_instruct/calibrations/h_infinity/txi95_fluency05_n200_r1/selection.json
truthfulness,id,language,English,qwen25_14b,Qwen-2.5-14B,selected,true,85.31,A-LQR,71.82,13.490000000000009,71.69063687324524,0.01394882293720001,truthfulness_quality_composite,figs/bench_table/truthfulness/truthfulqa.md,benchmarks/truthfulness/cache/qwen14b/calibrations/h_infinity/selected/selection.json
truthfulness,ood,language,Spanish,gpt2_xl,GPT-2 XL,txi95_fluency05_n200_r1,true,84.21,A-LQR,74.3,9.909999999999997,30.839061737060547,0.03242640805761803,truthfulqa_txi_fluency_composite,figs/bench_table/truthfulness/truthfulqa_spanish.md,benchmarks/truthfulness/cache/gpt2_xl/calibrations/h_infinity/txi95_fluency05_n200_r1/selection.json
truthfulness,ood,language,Spanish,llama31_8b,Llama-3-8B,txi_fluency_95_05,true,68.54,ODESteer,95.67,-27.129999999999995,4.852664470672607,0.20607235592808135,truthfulqa_txi_fluency_composite,figs/bench_table/truthfulness/truthfulqa_spanish.md,benchmarks/truthfulness/cache/llama8b/calibrations/h_infinity/txi_fluency_95_05/selection.json
truthfulness,ood,language,Spanish,olmo2_32b,OLMo-2-32B,txi95_fluency05_n200_r1,true,95.59,A-LQR,90.45,5.140000000000001,2.571195363998413,0.38892416111272093,truthfulqa_txi_fluency_composite,figs/bench_table/truthfulness/truthfulqa_spanish.md,benchmarks/truthfulness/cache/olmo2_32b_instruct/calibrations/h_infinity/txi95_fluency05_n200_r1/selection.json
truthfulness,ood,language,Spanish,qwen25_14b,Qwen-2.5-14B,selected,true,88.74,A-LQR,85.24,3.5,71.69063687324524,0.01394882293720001,truthfulness_quality_composite,figs/bench_table/truthfulness/truthfulqa_spanish.md,benchmarks/truthfulness/cache/qwen14b/calibrations/h_infinity/selected/selection.json
